,Amplitude,Phase_circle,Phase,Decay_rate,Period,Rhythmicity
TRINITY_DN7668_c0_g1_i1.1,0.236813068,57.15259767,2.53632033,1.058480562,15.97609481,rhythmic
TRINITY_DN6788_c0_g1_i22.1,1.718741726,312.7864216,9.067671727,0.888991908,10.43639236,rhythmic
TRINITY_DN33116_c1_g1_i2.1,27.44589694,201.2932326,7.587556541,0.851273841,13.56985687,rhythmic
TRINITY_DN30480_c0_g1_i2.1,0.160877318,50.08325037,1.698306873,0.985076936,12.20748393,rhythmic
TRINITY_DN4826_c0_g1_i2.1,0.155357707,105.7949447,2.542532426,1.06249061,8.651752465,rhythmic
TRINITY_DN14138_c0_g1_i1.1,0.047930499,58.69970758,2.418075519,1.091406957,14.82983856,rhythmic
TRINITY_DN21460_c0_g1_i1.1,39.66545593,268.6636312,7.01218796,0.828187459,9.396090027,rhythmic
TRINITY_DN11962_c0_g1_i7.1,0.616007183,68.84010289,2.163396052,1.007726513,11.31350108,rhythmic
TRINITY_DN66867_c2_g1_i1.1,0.418936958,236.9221206,7.928476564,1.019399525,12.04721432,rhythmic
TRINITY_DN4099_c0_g1_i1.1,2.450508622,225.1874571,7.652924629,1.093665229,12.23448633,rhythmic
TRINITY_DN56935_c0_g1_i9.1,0.070648041,200.1548505,5.606844429,1.015447574,10.08451201,rhythmic
TRINITY_DN3151_c0_g1_i5.1,46.21199556,16.29099634,0.52462589,1.002145632,11.59323325,rhythmic
TRINITY_DN73539_c0_g1_i1.1,0.212703339,324.3358822,7.749192812,1.08358988,8.601297499,rhythmic
TRINITY_DN244957_c0_g1_i1.1,0.087499406,352.9182012,20.37893146,1.020249676,20.78786331,rhythmic
TRINITY_DN34811_c0_g1_i1.1,0.152919948,240.5969821,11.03256258,1.237607624,16.507782,nonrhythmic
TRINITY_DN15070_c0_g1_i12.1,2.511493468,49.97468168,1.352422505,1.036154246,9.74237525,rhythmic
TRINITY_DN6842_c0_g1_i9.1,1.839864191,121.4452023,4.163072104,1.172641032,12.34059418,rhythmic
TRINITY_DN1497_c0_g1_i6.1,0.490535189,138.0820876,4.957808961,1.022123595,12.92572597,rhythmic
TRINITY_DN5949_c0_g1_i8.1,4.575621718,240.1950382,7.736030198,0.733169907,11.59462282,nonrhythmic
TRINITY_DN17568_c0_g2_i1.1,0.2250256,130.7128076,3.856688497,0.915905283,10.62181957,rhythmic
TRINITY_DN9011_c0_g1_i20.1,0.070723937,211.2533019,4.911006026,1.259113846,8.36892088,nonrhythmic
TRINITY_DN7993_c0_g1_i19.1,0.398210534,304.2137726,8.646978695,1.102065123,10.2326476,rhythmic
TRINITY_DN124120_c3_g1_i1.1,4.572911588,177.8466929,6.437363372,0.871116033,13.03060955,rhythmic
TRINITY_DN4132_c0_g1_i15.1,40.67827818,74.6226835,2.678788692,0.9741891,12.92320088,rhythmic
TRINITY_DN243039_c0_g1_i1.1,0.013134332,334.4477315,9.940280691,1.863050881,10.69973186,nonrhythmic
TRINITY_DN19578_c0_g1_i5.1,0.204461253,170.5958368,12.24904562,1.017303314,25.84855824,rhythmic
TRINITY_DN8263_c0_g1_i6.1,0.096586928,273.3545314,9.737619369,1.145599677,12.82416265,rhythmic
TRINITY_DN9901_c0_g1_i1.1,1.236819563,54.63997272,1.947356025,0.950395083,12.83031697,rhythmic
TRINITY_DN4886_c0_g1_i5.1,2.119386551,64.23453871,2.247981809,0.940507475,12.59872753,rhythmic
TRINITY_DN22947_c0_g1_i20.1,0.700593584,247.8327278,8.180438253,0.666257346,11.88284452,nonrhythmic
TRINITY_DN31221_c0_g1_i1.1,0.326674671,356.0177847,9.000591952,1.097989431,9.101267526,rhythmic
TRINITY_DN5924_c0_g1_i10.1,0.070729943,235.029724,9.443951923,1.022265626,14.46550094,rhythmic
TRINITY_DN3032_c0_g1_i36.1,0.366278115,131.7432835,3.923093704,1.208096845,10.72019534,nonrhythmic
TRINITY_DN5520_c0_g1_i2.1,0.245126192,244.4467758,8.495753774,0.95636633,12.51180895,rhythmic
TRINITY_DN21898_c0_g1_i7.1,0.146034058,346.7612212,9.819324967,0.901266182,10.19421081,rhythmic
TRINITY_DN10609_c2_g1_i3.1,1.363784683,45.2752754,1.462590859,1.003406566,11.62958601,rhythmic
TRINITY_DN17724_c0_g1_i11.1,1.167374774,86.72595211,2.822182572,0.908575613,11.7148985,rhythmic
TRINITY_DN18737_c0_g1_i7.1,1.721473504,254.2553234,8.59787016,0.71058306,12.17372056,nonrhythmic
TRINITY_DN5463_c3_g1_i6.1,0.345808113,228.5922414,7.156022061,1.252637614,11.26970857,nonrhythmic
TRINITY_DN18564_c1_g1_i2.1,0.344204476,31.92056233,1.171552895,0.937431253,13.21276981,rhythmic
TRINITY_DN29624_c0_g1_i5.1,5.658654265,98.33958433,4.540546315,0.950718903,16.62196037,rhythmic
TRINITY_DN52925_c0_g1_i1.1,0.020685655,280.0957774,9.935429091,0.988529806,12.76975507,rhythmic
TRINITY_DN13055_c1_g1_i1.1,0.166475094,73.86065527,2.287212216,1.012651737,11.14797039,rhythmic
TRINITY_DN67232_c0_g1_i7.1,0.10797744,329.5374926,8.29453401,1.039093872,9.061282282,rhythmic
